,task,num_simulations,num_observation,algorithm,seed,C2ST,C2ST_Z,MMD,MMD_Z,MEDDIST,MEANERR,VARERR,C2ST_1K,C2ST_1K_Z,MMD_1K,MMD_1K_Z,MEDDIST_1K,NLTP,RT,KSD,KSD_1K,num_simulations_simulator,path,folder,num_bins,num_transforms,num_trials,ABSMEANERR,ABSVARERR,DISP
123,ddm,100000,1,LAN,158697878,0.50075,0.51605,0.0004377365,0.00022161007,0.21331292,0.024292783284510205,0.025257810107811175,0.498,0.513,0.00012946129,0.00033652782,0.18510824,,47.547871907552086,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/0,0,,,1,0.013705696578776252,0.008523293507057782,0.9988166658779818
123,ddm,100000,1,MNLE,3217264884,0.50155,0.50265,0.00021588802,5.4359436e-05,0.21248591,0.015423750905886909,0.010663579307493528,0.486,0.51,-0.000682354,0.00014162064,0.21476816,,24.94795125325521,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/0,0,5.0,5.0,1,0.01045162860887687,0.006986041854917448,0.9954540658897437
123,ddm,100000,1,MNLE*,3217264884,0.5124499797821045,0.50265,0.00021588802,5.4359436e-05,0.21248591,0.02298343430787032,0.013870462234910287,0.486,0.51,-0.000682354,0.00014162064,0.21476816,,24.94795125325521,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/0,0,5.0,5.0,1,0.017241823602371795,0.007918899138253168,0.9937921423809923
63,ddm,100000,2,LAN,3356959328,0.50355,0.5056,0.00021529198,0.00013303757,0.34038353,0.020476081212772924,0.02344746058264367,0.5225,0.523,0.0026688576,0.0017726421,0.36779958,,46.94867757161458,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/1,1,,,1,0.011286025490750029,0.015089546994154983,0.9802751438217768
63,ddm,100000,2,MNLE,2997589923,0.5112,0.51015,0.0001487732,0.00010085106,0.3304751,0.019228668479184727,0.020451490005132023,0.5,0.494,0.000113368034,-0.00010406971,0.28077972,,24.436859130859375,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/1,1,5.0,5.0,1,0.008597166717236482,0.005772237275699067,0.979548509994868
63,ddm,100000,2,MNLE*,2997589923,0.5062000155448914,0.51015,0.0001487732,0.00010085106,0.3304751,0.016810248958969817,0.012657494745226015,0.5,0.494,0.000113368034,-0.00010406971,0.28077972,,24.436859130859375,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/1,1,5.0,5.0,1,0.006659914051312055,0.006301659295061867,0.987342505254774
28,ddm,100000,3,LAN,1882284880,0.5062,0.5203,7.1525574e-06,0.00010216236,0.3039754,0.020565990670807638,0.023420916374066077,0.497,0.48,0.00050389767,-0.00015687943,0.26385167,,47.25564778645833,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/2,2,,,1,0.007894572787162185,0.0032167221249465873,0.9936102968206272
28,ddm,100000,3,MNLE,2812929804,0.498,0.5118,-5.4717064e-05,-4.6014786e-05,0.30499506,0.0029153348516596867,0.013341427666666655,0.482,0.493,0.0007318258,-0.00023424625,0.28219834,,24.6744140625,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/2,2,5.0,5.0,1,0.00112631580288719,0.004131506909714365,0.9978886078900044
28,ddm,100000,3,MNLE*,2812929804,0.5029000043869019,0.5118,-5.4717064e-05,-4.6014786e-05,0.30499506,0.013797013549832133,0.014039466255082247,0.482,0.493,0.0007318258,-0.00023424625,0.28219834,,24.6744140625,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/2,2,5.0,5.0,1,0.006883105081718743,0.004500871722898089,0.9913049800595519
122,ddm,100000,4,LAN,300410215,0.50905,0.516,0.00034809113,0.00021064281,0.19431973,0.024666684798095428,0.019380612311405292,0.5095,0.4855,-4.208088e-05,-2.6226044e-05,0.18031761,,47.15190836588542,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/3,3,,,1,0.009900405752724828,0.005596571778501659,1.0050316804616966
